dataset,origin,seed,teacher,student,r_stu,r_legacy,teacher_cal_MASE,ns_cal_MASE,g_soft,action,g_hard
ETTh1,2,123,ClassicalELM,PatchTST,0.6618002884799292,0.6570957571225186,2.8416274491352707,1.8805898655902076,0.40450072119982305,attenuate,0.0
ETTh1,2,123,ClassicalELM,N-HiTS,0.5660553231404757,0.6570957571225186,2.8416274491352707,1.6085183439651114,0.16513830785118921,attenuate,0.0
ETTh1,2,2024,QELM,DLinear,0.12284965612759179,0.14873135507313864,12.554318744729253,1.5422937407061685,0.0,reject,0.0
ETTh1,2,2024,QELM,PatchTST,0.14196702335430306,0.14873135507313864,12.554318744729253,1.7822992624303424,0.0,reject,0.0
ETTh1,2,2024,QELM,N-HiTS,0.1317374674561671,0.14873135507313864,12.554318744729253,1.6538741570681184,0.0,reject,0.0
ETTh1,2,2024,QELM-NISQ,DLinear,0.11944835505905052,0.14600639926268333,12.911803933538637,1.5422937407061685,0.0,reject,0.0
ETTh1,2,2024,QELM-NISQ,PatchTST,0.13887993008842514,0.14600639926268333,12.833382485831818,1.7822992624303424,0.0,reject,0.0
ETTh1,2,2024,QELM-NISQ,N-HiTS,0.12810589327514532,0.14600639926268333,12.910211347700718,1.6538741570681184,0.0,reject,0.0
ETTh1,2,2024,ClassicalELM,DLinear,0.6739515927740465,0.8159384895487721,2.2884340021483536,1.5422937407061685,0.4348789819351162,attenuate,0.0
ETTh1,2,2024,ClassicalELM,PatchTST,0.7788292171664737,0.8159384895487721,2.2884340021483536,1.7822992624303424,0.6970730429161842,attenuate,0.0
ETTh1,2,2024,ClassicalELM,N-HiTS,0.7227100084666989,0.8159384895487721,2.2884340021483536,1.6538741570681184,0.5567750211667472,attenuate,0.0
ETTh1,3,42,QELM,DLinear,0.10503427768177484,0.10878288855128264,16.96981415609676,1.7824121722795805,0.0,reject,0.0
ETTh1,3,42,QELM,PatchTST,0.10637686425826005,0.10878288855128264,16.96981415609676,1.805195616971005,0.0,reject,0.0
ETTh1,3,42,QELM,N-HiTS,0.10670862505632248,0.10878288855128264,16.96981415609676,1.8108255360584027,0.0,reject,0.0
ETTh1,3,42,QELM-NISQ,DLinear,0.09726015325360696,0.10127935520745542,18.326232405082898,1.7824121722795805,0.0,reject,0.0
ETTh1,3,42,QELM-NISQ,PatchTST,0.09885859558284746,0.10127935520745542,18.26038096462921,1.805195616971005,0.0,reject,0.0
ETTh1,3,42,QELM-NISQ,N-HiTS,0.09913402095654975,0.10127935520745542,18.26643889338539,1.8108255360584027,0.0,reject,0.0
ETTh1,3,42,ClassicalELM,DLinear,0.7256498799750405,0.7515479505604713,2.4562977566273263,1.7824121722795805,0.5641246999376012,attenuate,0.0
ETTh1,3,42,ClassicalELM,PatchTST,0.7349254023053251,0.7515479505604713,2.4562977566273263,1.805195616971005,0.5873135057633128,attenuate,0.0
ETTh1,3,42,ClassicalELM,N-HiTS,0.7372174367592944,0.7515479505604713,2.4562977566273263,1.8108255360584027,0.593043591898236,attenuate,0.0
ETTh1,3,123,QELM,DLinear,0.0958724960023706,0.09911817625871645,18.624491914961435,1.785576526663324,0.0,reject,0.0
ETTh1,3,123,QELM,PatchTST,0.09627571519759737,0.09911817625871645,18.624491914961435,1.793086279304782,0.0,reject,0.0
ETTh1,3,123,QELM,N-HiTS,0.09684091272775493,0.09911817625871645,18.624491914961435,1.8036127961355575,0.0,reject,0.0
ETTh1,3,123,QELM-NISQ,DLinear,0.09757918797098158,0.10066603034927385,18.298743449210956,1.785576526663324,0.0,reject,0.0
ETTh1,3,123,QELM-NISQ,PatchTST,0.09807333776266654,0.10066603034927385,18.283116698281212,1.793086279304782,0.0,reject,0.0
ETTh1,3,123,QELM-NISQ,N-HiTS,0.09847581288386337,0.10066603034927385,18.315287209282886,1.8036127961355575,0.0,reject,0.0
ETTh1,3,123,ClassicalELM,DLinear,0.7309358738090204,0.7556809807898017,2.4428634448579016,1.785576526663324,0.5773396845225509,attenuate,0.0
ETTh1,3,123,ClassicalELM,PatchTST,0.7340100336263714,0.7556809807898017,2.4428634448579016,1.793086279304782,0.5850250840659285,attenuate,0.0
ETTh1,3,123,ClassicalELM,N-HiTS,0.7383191229669702,0.7556809807898017,2.4428634448579016,1.8036127961355575,0.5957978074174255,attenuate,0.0
ETTh1,3,2024,QELM,DLinear,0.10604388182432951,0.11011919558149894,16.763883969240304,1.7777073305508908,0.0,reject,0.0
ETTh1,3,2024,QELM,PatchTST,0.1099497562740417,0.11011919558149894,16.763883969240304,1.8431849566242862,0.0,reject,0.0
ETTh1,3,2024,QELM,N-HiTS,0.10898238924082844,0.11011919558149894,16.763883969240304,1.826968127923831,0.0,reject,0.0
ETTh1,3,2024,QELM-NISQ,DLinear,0.10317256417426626,0.10698013724382822,17.23042695292722,1.7777073305508908,0.0,reject,0.0
ETTh1,3,2024,QELM-NISQ,PatchTST,0.10709584888781168,0.10698013724382822,17.210610642389284,1.8431849566242862,0.0,reject,0.0
ETTh1,3,2024,QELM-NISQ,N-HiTS,0.10598997741302676,0.10698013724382822,17.237178198504704,1.826968127923831,0.0,reject,0.0
ETTh1,3,2024,ClassicalELM,DLinear,0.790447988355457,0.8208253630477513,2.248987101921085,1.7777073305508908,0.7261199708886426,attenuate,0.0
ETTh1,3,2024,ClassicalELM,PatchTST,0.819562262073374,0.8208253630477513,2.248987101921085,1.8431849566242862,0.798905655183435,attenuate,0.0
ETTh1,3,2024,ClassicalELM,N-HiTS,0.8123515365487134,0.8208253630477513,2.248987101921085,1.826968127923831,0.7808788413717834,attenuate,0.0
ETTh1,4,42,QELM,DLinear,0.3684331272467637,0.4007810017319524,5.837553747950153,2.150748182828341,0.0,reject,0.0
ETTh1,4,42,QELM,PatchTST,0.3636676120784277,0.4007810017319524,5.837553747950153,2.122929231896508,0.0,reject,0.0
ETTh1,4,42,QELM,N-HiTS,0.3666928798888382,0.4007810017319524,5.837553747950153,2.1405893953417228,0.0,reject,0.0
ETTh1,4,42,QELM-NISQ,DLinear,0.33962534944173906,0.36735584317638253,6.332708045390736,2.150748182828341,0.0,reject,0.0
ETTh1,4,42,QELM-NISQ,PatchTST,0.3370373714197924,0.36735584317638253,6.298794768525303,2.122929231896508,0.0,reject,0.0
ETTh1,4,42,QELM-NISQ,N-HiTS,0.3418747886675895,0.36735584317638253,6.261325685009938,2.1405893953417228,0.0,reject,0.0
ETTh1,4,42,ClassicalELM,DLinear,0.9132960571801072,0.993482181880668,2.354929889294596,2.150748182828341,1.0,accept,0.0
ETTh1,4,42,ClassicalELM,PatchTST,0.9014829874754435,0.993482181880668,2.354929889294596,2.122929231896508,1.0,accept,0.0
ETTh1,4,42,ClassicalELM,N-HiTS,0.9089822185674167,0.993482181880668,2.354929889294596,2.1405893953417228,1.0,accept,0.0
