dataset,horizon,teacher,seed,r_global,teacher_val_mase,naive_val_mase,fit_seconds
AAPL,24,VQC,123,1.0,0.6304118243777822,0.9045901766296092,2.1
AAPL,24,QRC,123,1.0,0.6661973308593271,0.9045901766296092,0.4
AAPL,24,QKRR,123,1.0,0.7204394236161137,0.9045901766296092,0.1
AAPL,24,QELM,2024,1.0,0.6285935830064434,0.9045901766296092,0.1
AAPL,24,VQC,2024,1.0,0.6290326976016117,0.9045901766296092,2.1
AAPL,24,QRC,2024,1.0,0.6663542337955856,0.9045901766296092,0.4
AAPL,24,QKRR,2024,1.0,0.7306019666448886,0.9045901766296092,0.0
AAPL,24,QELM,7,1.0,0.6268416782401869,0.9045901766296092,0.1
AAPL,24,VQC,7,1.0,0.6300455113958188,0.9045901766296092,2.1
AAPL,24,QRC,7,1.0,0.6654808955244372,0.9045901766296092,0.4
AAPL,24,QKRR,7,1.0,0.7153099175193867,0.9045901766296092,0.1
AAPL,24,QELM,99,1.0,0.6290725557821231,0.9045901766296092,0.1
AAPL,24,VQC,99,1.0,0.6318234448469509,0.9045901766296092,2.1
AAPL,24,QRC,99,1.0,0.6622545753840317,0.9045901766296092,0.4
AAPL,24,QKRR,99,1.0,0.7287444292676577,0.9045901766296092,0.1
