student,teacher,dataset,origin,reference,n_windows,dm_stat,dm_p,boot_lo,boot_hi,ess_ratio
DLinear,ClassicalELM,ETTm2,3,NaiveKD,1600,-1.5830992534570199,0.11359659629020791,-0.11134094252809881,0.004106688306899701,0.07565337167877387
DLinear,ClassicalELM,ETTm2,3,LegacyPersist,1600,-1.2663280509026082,0.20558010158285525,-0.08402899456187152,0.010930872045806587,0.07877321831140652
DLinear,ClassicalELM,ETTm2,4,NaiveKD,1600,0.2620938179265837,0.7932828717805045,-0.014135180812794714,0.014805186666548249,0.09097584108035235
DLinear,ClassicalELM,ETTm2,4,LegacyPersist,1600,0.0460125023973424,0.9633060305502764,-0.015680745346937325,0.013634621535893527,0.09277786976117165
DLinear,ClassicalELM,Energy,0,NaiveKD,1600,-4.107115231721832,4.2088558522196483e-05,-10.172105159282685,-4.450711003303528,0.2223370954400877
DLinear,ClassicalELM,Energy,0,LegacyPersist,1600,-4.292107256521275,1.8760591454137413e-05,-10.762028772830964,-5.113005287170412,0.23792605371838835
DLinear,ClassicalELM,Energy,1,NaiveKD,1600,-1.0012307275100396,0.3168667630168261,-5.145118538856506,2.569607873916623,0.15239968965425718
DLinear,ClassicalELM,Energy,1,LegacyPersist,1600,-0.7681766254004746,0.44249568711315046,-4.58791954421997,2.819281908512104,0.19180758213150845
DLinear,ClassicalELM,Energy,2,NaiveKD,1600,0.5318490375892084,0.5949044374190315,-5.1053110809326165,7.425618151187889,0.18401296247837326
DLinear,ClassicalELM,Energy,2,LegacyPersist,1600,0.42583732620791964,0.670283696545376,-5.68337535905838,7.554001841068267,0.1966318711445227
DLinear,ClassicalELM,Energy,3,NaiveKD,1600,-1.8716857156172757,0.06143254156322091,-11.832907346963882,0.05323453545569909,0.1653930052109159
DLinear,ClassicalELM,Energy,3,LegacyPersist,1600,-4.217593272457344,2.607627822412528e-05,-13.495974079132079,-5.528540530681611,0.211559313868922
DLinear,ClassicalELM,Energy,4,NaiveKD,1600,-3.909511283164355,9.634868200683964e-05,-16.976804477214813,-4.98281203365326,0.10231439781947266
DLinear,ClassicalELM,Energy,4,LegacyPersist,1600,-3.8490972978489366,0.00012322192579106536,-16.784431195735934,-4.897990448951732,0.11022775117754154
DLinear,ClassicalELM,ExchangeRate,0,NaiveKD,607,-2.4684559404485396,0.013844623132955682,-6.152522965768564e-05,-7.978400699387715e-06,0.15964952001295887
DLinear,ClassicalELM,ExchangeRate,0,LegacyPersist,607,-2.4573441510654765,0.014275897427367916,-5.4935788007144686e-05,-1.3906083154512035e-06,0.27546914880358053
DLinear,ClassicalELM,ExchangeRate,1,NaiveKD,607,2.4997504840027482,0.012691353798457785,3.4173851398539406e-06,4.632194187316453e-05,0.2481848858432763
DLinear,ClassicalELM,ExchangeRate,1,LegacyPersist,607,-0.6099837342820507,0.5421012399550955,-1.4959529390914557e-05,5.633482021775212e-06,0.18711048320878884
DLinear,ClassicalELM,ExchangeRate,2,NaiveKD,607,-2.1871434759479715,0.029113524287039973,-0.002604519614115161,-0.0006991480186979001,0.05352626645441691
DLinear,ClassicalELM,ExchangeRate,2,LegacyPersist,607,3.0408942093894766,0.0024606337091438828,3.078449061512487e-05,0.00027791065727958924,0.10225497709177055
DLinear,ClassicalELM,ExchangeRate,3,NaiveKD,607,-4.094551530009737,4.8037586108480896e-05,-0.0006557599248600851,-0.00010663458588513958,0.0661896111157887
DLinear,ClassicalELM,ExchangeRate,3,LegacyPersist,607,-2.833590991161859,0.004756051985142464,-0.0002621594610322141,-6.967291172250268e-06,0.044357754815966016
DLinear,ClassicalELM,ExchangeRate,4,NaiveKD,607,-2.3371204395901706,0.01975765458045654,-4.1878879175957175e-05,-5.261171961094297e-06,0.26694039222274984
DLinear,ClassicalELM,ExchangeRate,4,LegacyPersist,607,-2.332301698135996,0.020011401567205017,-7.748452343753979e-05,-8.310351850268557e-06,0.19360032596589835
DLinear,ClassicalELM,Jena,0,NaiveKD,1600,-4.846920176791508,1.3756286922744888e-06,-0.0850559876805637,-0.0280463376515545,0.0792079792067312
DLinear,ClassicalELM,Jena,0,LegacyPersist,1600,-4.2203250210855545,2.5765730632090807e-05,-0.030838573300279677,-0.009747202176367872,0.1432407357578048
DLinear,ClassicalELM,Jena,1,NaiveKD,1600,-3.142351553689713,0.0017067088337005066,-0.035028498534346,-0.00428636382101104,0.1079810593720749
DLinear,ClassicalELM,Jena,1,LegacyPersist,1600,-4.301802860046954,1.796701915316511e-05,-0.02565829369635321,-0.007874562467681248,0.15738413254780115
DLinear,ClassicalELM,Jena,2,NaiveKD,1600,-4.975921588682383,7.194253230810071e-07,-0.015909316863515415,-0.007750378847005782,0.08165844232496605
DLinear,ClassicalELM,Jena,2,LegacyPersist,1600,-4.548386476189389,5.813283378633337e-06,-0.008114739960059524,-0.003620641190093011,0.0692963684727774
DLinear,ClassicalELM,Jena,3,NaiveKD,1600,-5.955263909166303,3.186125765517578e-09,-0.018658150434261188,-0.010441578353056685,0.18111393144575533
DLinear,ClassicalELM,Jena,3,LegacyPersist,1600,-5.728636900791633,1.2074103324767205e-08,-0.018109557742020117,-0.009987683915765957,0.1858925479732044
DLinear,ClassicalELM,Jena,4,NaiveKD,1600,-5.782233546523277,8.848253263153776e-09,-0.015903993085841648,-0.007489629310905004,0.1679212650515091
DLinear,ClassicalELM,Jena,4,LegacyPersist,1600,-5.595725637494261,2.580512699389829e-08,-0.014239244119962677,-0.006563463267637419,0.16991692928319788
PatchTST,QELM,AAPL,0,NaiveKD,486,-0.2986530198571343,0.7653327217204231,-6.374577251971994e-09,8.505025548944746e-09,1.0
PatchTST,QELM,AAPL,0,LegacyPersist,486,-0.6567667177205514,0.5116424332880016,-6.730901700187735e-05,1.667066661204083e-05,1.0
