dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy,picked,MASE_NS,regret,rel_regret
ETTh1,0,123,PatchTST_SoftSR[QELM-NISQ],0.0,reject,2.0923585509576044,2.4577925311980358,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.2857157311162243,13.974255212989917,QELM-NISQ,PatchTST,SoftSR,,2.0832735528804984,0.0,0.0
ETTh1,0,123,PatchTST_HardRejectSR[QELM-NISQ],0.0,,2.0923585509576044,2.4577925311980358,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.2857157311162243,13.974255212989917,QELM-NISQ,PatchTST,HardRejectSR,,2.0832735528804984,0.0,0.0
ETTh1,0,123,PatchTST_LegacyPersist[QELM-NISQ],0.5041994512946858,,2.0945823638877137,2.4577925311980358,False,1.575345509986211,2.059963574807502,4.243449929533702,2.1382188533653017,0.4579049572473395,14.342819221623063,QELM-NISQ,PatchTST,LegacyPersist,,2.0832735528804984,0.05494530048480328,0.02637450103892097
ETTh1,0,123,N-HiTS_NaiveKD[QELM-NISQ],1.0,,2.2874771829595706,2.4577925311980358,False,1.6290542157137329,2.111613913511911,4.45891331973709,2.2111177612229445,0.4555947000999204,14.831813065826765,QELM-NISQ,N-HiTS,NaiveKD,,2.1322629851671744,0.07885477605577007,0.03698173096110266
ETTh1,0,123,N-HiTS_SoftSR[QELM-NISQ],0.0,reject,2.081038782658676,2.4577925311980358,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,QELM-NISQ,N-HiTS,SoftSR,,2.1322629851671744,0.0,0.0
ETTh1,0,123,N-HiTS_HardRejectSR[QELM-NISQ],0.0,,2.081038782658676,2.4577925311980358,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,QELM-NISQ,N-HiTS,HardRejectSR,,2.1322629851671744,0.0,0.0
ETTh1,0,123,N-HiTS_LegacyPersist[QELM-NISQ],0.5041994512946858,,2.1699322045091445,2.4577925311980358,False,1.6113268391142963,2.0996837201767096,4.408671724775107,2.1870563660398945,0.4016799126894573,14.6704131975264,QELM-NISQ,N-HiTS,LegacyPersist,,2.1322629851671744,0.05479338087272012,0.025697290275113128
ETTh1,0,123,DLinear_NaiveKD[ClassicalELM],1.0,,2.016392755331248,2.4577925311980358,False,1.521423410872975,2.021238658392865,4.085405714181789,2.0650303063411237,0.2940231832655801,13.851882525686213,ClassicalELM,DLinear,NaiveKD,,2.0623638018598087,0.002666504481315002,0.0012929360372357138
ETTh1,0,123,DLinear_SoftSR[ClassicalELM],0.9458884704732472,attenuate,2.0157139800679063,2.4577925311980358,False,1.5211151293174705,2.021215357583347,4.085311521730778,2.064611875317614,0.2954149099878501,13.849075759429583,ClassicalELM,DLinear,SoftSR,,2.0623638018598087,0.0022480734578054218,0.001090046991601648
ETTh1,0,123,DLinear_HardRejectSR[ClassicalELM],0.0,,2.0093059248375047,2.4577925311980358,False,1.519458847771595,2.0274985535565357,4.1107503846738425,2.0623638018598087,0.3527513241819229,13.833996053649477,ClassicalELM,DLinear,HardRejectSR,,2.0623638018598087,0.0,0.0
ETTh1,0,123,DLinear_LegacyPersist[ClassicalELM],1.0,,2.017355195779637,2.4577925311980358,False,1.520788070230742,2.0215819909602,4.086793746174606,2.0641679575224545,0.3335832376518897,13.846098032114526,ClassicalELM,DLinear,LegacyPersist,,2.0623638018598087,0.001804155662645801,0.0008747999072805877
ETTh1,0,123,PatchTST_NaiveKD[ClassicalELM],1.0,,2.086788857369934,2.4577925311980358,False,1.5322317210473806,2.0000200015915324,4.0000800067661935,2.079700442156686,0.1193563452631869,13.950287375885765,ClassicalELM,PatchTST,NaiveKD,,2.0832735528804984,-0.0035731107238126114,-0.0017151423627838728
ETTh1,0,123,PatchTST_SoftSR[ClassicalELM],1.0,accept,2.086141570273369,2.4577925311980358,False,1.5325033054821913,2.0005847974680275,4.002339531860189,2.080069064122541,0.122107787233815,13.95276003120309,ClassicalELM,PatchTST,SoftSR,,2.0832735528804984,-0.0032044887579574244,-0.0015381987418438858
ETTh1,0,123,PatchTST_HardRejectSR[ClassicalELM],0.0,,2.0923585509576044,2.4577925311980358,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.2857157311162243,13.974255212989917,ClassicalELM,PatchTST,HardRejectSR,,2.0832735528804984,0.0,0.0
