dataset,origin,seed,model,teacher,student,policy,picked,MASE,MAE,RMSE,cal_MASE,persistence_MASE,diverged
AAPL,1,42,N-HiTS_ValSelect[QELM],QELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM],0.9038526843032076,0.0266112704734614,0.0355431463634616,1.1749744960165196,1.3080004344449487,False
AAPL,1,42,N-HiTS_HardRejectPersist[QELM],QELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM],0.9038526843032076,0.0266112704734614,0.0355431463634616,1.1749744960165196,1.3080004344449487,False
AAPL,1,42,N-HiTS_Oracle[QELM],QELM,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM],0.9038526843032076,0.0266112704734614,0.0355431463634616,1.1749744960165196,1.3080004344449487,False
AAPL,1,42,DLinear_ValSelect[QELM-NISQ],QELM-NISQ,DLinear,ValSelect,DLinear_NaiveKD[QELM-NISQ],0.9217127962335212,0.0271371086742189,0.0363363384429839,1.1845813512246008,1.3080004344449487,False
AAPL,1,42,DLinear_HardRejectPersist[QELM-NISQ],QELM-NISQ,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM-NISQ],0.9217127962335212,0.0271371086742189,0.0363363384429839,1.1845813512246008,1.3080004344449487,False
AAPL,1,42,DLinear_Oracle[QELM-NISQ],QELM-NISQ,DLinear,Oracle,DLinear_NaiveKD[QELM-NISQ],0.9217127962335212,0.0271371086742189,0.0363363384429839,1.1845813512246008,1.3080004344449487,False
AAPL,1,42,PatchTST_ValSelect[QELM-NISQ],QELM-NISQ,PatchTST,ValSelect,PatchTST_NaiveKD[QELM-NISQ],0.911301269030454,0.0268305720325136,0.0357356635781506,1.1762681171576692,1.3080004344449487,False
AAPL,1,42,PatchTST_HardRejectPersist[QELM-NISQ],QELM-NISQ,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM-NISQ],0.911301269030454,0.0268305720325136,0.0357356635781506,1.1762681171576692,1.3080004344449487,False
AAPL,1,42,PatchTST_Oracle[QELM-NISQ],QELM-NISQ,PatchTST,Oracle,PatchTST_NaiveKD[QELM-NISQ],0.911301269030454,0.0268305720325136,0.0357356635781506,1.1762681171576692,1.3080004344449487,False
AAPL,1,42,N-HiTS_ValSelect[QELM-NISQ],QELM-NISQ,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM-NISQ],0.9038408997127596,0.0266109235110312,0.0355428534491533,1.1749631019705702,1.3080004344449487,False
AAPL,1,42,N-HiTS_HardRejectPersist[QELM-NISQ],QELM-NISQ,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM-NISQ],0.9038408997127596,0.0266109235110312,0.0355428534491533,1.1749631019705702,1.3080004344449487,False
AAPL,1,42,N-HiTS_Oracle[QELM-NISQ],QELM-NISQ,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM-NISQ],0.9038408997127596,0.0266109235110312,0.0355428534491533,1.1749631019705702,1.3080004344449487,False
AAPL,1,42,DLinear_ValSelect[ClassicalELM],ClassicalELM,DLinear,ValSelect,DLinear_NaiveKD[ClassicalELM],0.9252325844371906,0.0272407384332757,0.0364633326230733,1.187596964532548,1.3080004344449487,False
AAPL,1,42,DLinear_HardRejectPersist[ClassicalELM],ClassicalELM,DLinear,HardRejectPersist,DLinear_NaiveKD[ClassicalELM],0.9252325844371906,0.0272407384332757,0.0364633326230733,1.187596964532548,1.3080004344449487,False
AAPL,1,42,DLinear_Oracle[ClassicalELM],ClassicalELM,DLinear,Oracle,DLinear_NaiveKD[ClassicalELM],0.9252325844371906,0.0272407384332757,0.0364633326230733,1.187596964532548,1.3080004344449487,False
AAPL,1,42,PatchTST_ValSelect[ClassicalELM],ClassicalELM,PatchTST,ValSelect,PatchTST_NaiveKD[ClassicalELM],0.9120480119626024,0.026852557670756,0.0357749888620979,1.1771072665922844,1.3080004344449487,False
