dataset,origin,student,teacher,policy,MASE,MASE_NS,regret,rel_regret
AAPL,2,N-HiTS,ClassicalELM,SoftSR,0.5538803212307298,0.5541208924567737,-0.00024057122604396555,-0.0004336399810770063
AAPL,2,N-HiTS,ClassicalELM,ValSelect,0.553880321245145,0.5541208924567737,-0.00024057121162871878,-0.000433639955209404
AAPL,2,N-HiTS,QELM,HardRejectPersist,0.5537863150925965,0.5541208924567737,-0.000334577364177228,-0.0006031597585843695
AAPL,2,N-HiTS,QELM,HardRejectSR,0.5540199841233124,0.5541208924567737,-0.00010090833346125076,-0.00018201530492051725
AAPL,2,N-HiTS,QELM,LegacyPersist,0.5542685831737059,0.5541208924567737,0.0001476907169321399,0.0002696113525013648
AAPL,2,N-HiTS,QELM,NaiveKD,0.5537863150925965,0.5541208924567737,-0.000334577364177228,-0.0006031597585843695
AAPL,2,N-HiTS,QELM,Oracle,0.5537863150925965,0.5541208924567737,-0.000334577364177228,-0.0006031597585843695
AAPL,2,N-HiTS,QELM,SoftSR,0.5537863151637908,0.5541208924567737,-0.00033457729298288125,-0.000603159629953197
AAPL,2,N-HiTS,QELM,ValSelect,0.5537863150925965,0.5541208924567737,-0.000334577364177228,-0.0006031597585843695
AAPL,2,N-HiTS,QELM-NISQ,HardRejectPersist,0.5537896072645351,0.5541208924567737,-0.0003312851922386839,-0.0005972112186298406
AAPL,2,N-HiTS,QELM-NISQ,HardRejectSR,0.5540146610208345,0.5541208924567737,-0.00010623143593924134,-0.00019161695116142632
AAPL,2,N-HiTS,QELM-NISQ,LegacyPersist,0.5542661201971546,0.5541208924567737,0.00014522774038087474,0.0002651704317036818
AAPL,2,N-HiTS,QELM-NISQ,NaiveKD,0.5537896072645351,0.5541208924567737,-0.0003312851922386839,-0.0005972112186298406
AAPL,2,N-HiTS,QELM-NISQ,Oracle,0.5537896072645351,0.5541208924567737,-0.0003312851922386839,-0.0005972112186298406
AAPL,2,N-HiTS,QELM-NISQ,SoftSR,0.5537812194768595,0.5541208924567737,-0.0003396729799141814,-0.0006123706965688257
AAPL,2,N-HiTS,QELM-NISQ,ValSelect,0.5537896072645351,0.5541208924567737,-0.0003312851922386839,-0.0005972112186298406
AAPL,2,PatchTST,ClassicalELM,HardRejectPersist,0.5608773770627812,0.5644450698022895,-0.0035676927395082623,-0.006311028479181326
AAPL,2,PatchTST,ClassicalELM,HardRejectSR,0.5644450698022895,0.5644450698022895,0.0,0.0
AAPL,2,PatchTST,ClassicalELM,LegacyPersist,0.563368043309943,0.5644450698022895,-0.0010770264923465704,-0.0019008857881796998
AAPL,2,PatchTST,ClassicalELM,NaiveKD,0.5608773770627812,0.5644450698022895,-0.0035676927395082623,-0.006311028479181326
AAPL,2,PatchTST,ClassicalELM,Oracle,0.5608773770627812,0.5644450698022895,-0.0035676927395082623,-0.006311028479181326
AAPL,2,PatchTST,ClassicalELM,SoftSR,0.5608773565643812,0.5644450698022895,-0.0035677132379082397,-0.00631106488000067
AAPL,2,PatchTST,ClassicalELM,ValSelect,0.5608773770627812,0.5644450698022895,-0.0035676927395082623,-0.006311028479181326
