dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy
AAPL,2,2024,DLinear_LegacyPersist[QELM],1.0,,0.9484241214980681,0.8078475787874746,False,0.017840214775273266,0.0241433227195447,0.0005829000319400833,0.560656682520056,-0.0027479566961974016,101.59378505170426,QELM,DLinear,LegacyPersist
AAPL,2,2024,PatchTST_NaiveKD[QELM],1.0,,0.9259751732360194,0.8078475787874746,False,0.017849351702327626,0.02427749333786779,0.0005893966827702149,0.5609438247588268,-0.003455127116109279,101.64581665641792,QELM,PatchTST,NaiveKD
AAPL,2,2024,PatchTST_SoftSR[QELM],1.0,accept,0.9259751748173067,0.8078475787874746,False,0.017849351670537108,0.02427749329275597,0.0005893966805798111,0.56094382375976,-0.003455127021445103,101.64581647538202,QELM,PatchTST,SoftSR
AAPL,2,2024,PatchTST_HardRejectSR[QELM],1.0,,0.9259751748173067,0.8078475787874746,False,0.017849351670537108,0.02427749329275597,0.0005893966805798111,0.56094382375976,-0.003455127021445103,101.64581647538202,QELM,PatchTST,HardRejectSR
AAPL,2,2024,PatchTST_LegacyPersist[QELM],1.0,,0.9259751748173067,0.8078475787874746,False,0.017849351670537108,0.02427749329275597,0.0005893966805798111,0.56094382375976,-0.003455127021445103,101.64581647538202,QELM,PatchTST,LegacyPersist
AAPL,2,2024,N-HiTS_NaiveKD[QELM],1.0,,0.9218923711984238,0.8078475787874746,False,0.017652808002933645,0.024053959723268546,0.0005785929783686254,0.5547671312682766,-0.003003724329566881,100.52656901276431,QELM,N-HiTS,NaiveKD
AAPL,2,2024,N-HiTS_SoftSR[QELM],1.0,accept,0.9218923716942576,0.8078475787874746,False,0.01765280800454304,0.02405395972282534,0.0005785929783473038,0.5547671313188542,-0.0030037243205991884,100.52656902192925,QELM,N-HiTS,SoftSR
AAPL,2,2024,N-HiTS_HardRejectSR[QELM],0.0,,0.9220142383603291,0.8078475787874746,False,0.01767104163272537,0.024075563678305996,0.000579632766428167,0.5553401516336758,-0.003123399914634675,100.63040315877136,QELM,N-HiTS,HardRejectSR
AAPL,2,2024,N-HiTS_LegacyPersist[QELM],1.0,,0.9241871769862386,0.8078475787874746,False,0.01765184136646132,0.024062595604519083,0.000579008507226621,0.5547367532036287,-0.00298145844499668,100.52106435605307,QELM,N-HiTS,LegacyPersist
AAPL,2,2024,DLinear_NaiveKD[QELM-NISQ],1.0,,0.9483979797280371,0.8078475787874746,False,0.01783965986858011,0.024143101418477888,0.000582889346102909,0.5606392437083818,-0.002750194122470628,101.59062505211804,QELM-NISQ,DLinear,NaiveKD
AAPL,2,2024,DLinear_SoftSR[QELM-NISQ],1.0,accept,0.9484038600310083,0.8078475787874746,False,0.01783984580969731,0.024143475627498193,0.0005829074153755993,0.5606450871991259,-0.002750583379936955,101.59168392176343,QELM-NISQ,DLinear,SoftSR
AAPL,2,2024,DLinear_HardRejectSR[QELM-NISQ],1.0,,0.9484153590461296,0.8078475787874746,False,0.0178399584700324,0.02414340011248197,0.0005829037689913945,0.5606486277265534,-0.002749250685019246,101.59232548297842,QELM-NISQ,DLinear,HardRejectSR
AAPL,2,2024,DLinear_LegacyPersist[QELM-NISQ],1.0,,0.948396433428085,0.8078475787874746,False,0.01783980823661289,0.024143333034500353,0.0005829005300147961,0.5606439064061183,-0.002748318373319239,101.59146995618565,QELM-NISQ,DLinear,LegacyPersist
AAPL,2,2024,PatchTST_NaiveKD[QELM-NISQ],1.0,,0.925966661219298,0.8078475787874746,False,0.017848421748747144,0.024276836956415925,0.000589364812608402,0.560914599511491,-0.003456915350701214,101.64052089594901,QELM-NISQ,PatchTST,NaiveKD
AAPL,2,2024,PatchTST_SoftSR[QELM-NISQ],1.0,accept,0.9259583807685273,0.8078475787874746,False,0.01784947315590826,0.02427812174315439,0.0005894271953754259,0.5609476416277634,-0.0034609659629478116,101.64650829209161,QELM-NISQ,PatchTST,SoftSR
AAPL,2,2024,PatchTST_HardRejectSR[QELM-NISQ],1.0,,0.9259707564146095,0.8078475787874746,False,0.01784883362798536,0.024277307467784014,0.0005893876578853216,0.5609275434614494,-0.003456170541417017,101.64286640419103,QELM-NISQ,PatchTST,HardRejectSR
AAPL,2,2024,PatchTST_LegacyPersist[QELM-NISQ],1.0,,0.9259741084393799,0.8078475787874746,False,0.017847556912901956,0.02427569475522816,0.0005893093558490121,0.5608874206909445,-0.003448040115445572,101.63559595821326,QELM-NISQ,PatchTST,LegacyPersist
AAPL,2,2024,N-HiTS_NaiveKD[QELM-NISQ],1.0,,0.9218404776595309,0.8078475787874746,False,0.017652871112590722,0.02405454121977845,0.0005786209532940205,0.5547691145880638,-0.0030060511878189982,100.52692840019415,QELM-NISQ,N-HiTS,NaiveKD
AAPL,2,2024,N-HiTS_SoftSR[QELM-NISQ],1.0,accept,0.9218165681586097,0.8078475787874746,False,0.01765278560132497,0.024054153668757846,0.0005786023087202165,0.5547664272626488,-0.0030073932548425665,100.52644144343597,QELM-NISQ,N-HiTS,SoftSR
AAPL,2,2024,N-HiTS_HardRejectSR[QELM-NISQ],0.0,,0.9220142383603291,0.8078475787874746,False,0.01767104163272537,0.024075563678305996,0.000579632766428167,0.5553401516336758,-0.003123399914634675,100.63040315877136,QELM-NISQ,N-HiTS,HardRejectSR
AAPL,2,2024,N-HiTS_LegacyPersist[QELM-NISQ],1.0,,0.9241786652620158,0.8078475787874746,False,0.01765182036970819,0.02406277729324016,0.0005790172510640742,0.554736093347786,-0.002984170523201158,100.52094478688585,QELM-NISQ,N-HiTS,LegacyPersist
AAPL,2,2024,DLinear_NaiveKD[ClassicalELM],1.0,,0.9530245441977059,0.8078475787874746,False,0.017888138048520363,0.024180265671596743,0.0005846852479489999,0.5621627464174177,-0.0027686188445897393,101.86669133576918,ClassicalELM,DLinear,NaiveKD
AAPL,2,2024,DLinear_SoftSR[ClassicalELM],1.0,accept,0.9530245444549466,0.8078475787874746,False,0.01788813805363362,0.024180265672670773,0.0005846852480009405,0.5621627465781098,-0.002768618833832376,101.86669136488737,ClassicalELM,DLinear,SoftSR
AAPL,2,2024,DLinear_HardRejectSR[ClassicalELM],1.0,,0.9530245444549466,0.8078475787874746,False,0.01788813805363362,0.024180265672670773,0.0005846852480009405,0.5621627465781098,-0.002768618833832376,101.86669136488737,ClassicalELM,DLinear,HardRejectSR
AAPL,2,2024,DLinear_LegacyPersist[ClassicalELM],1.0,,0.9530245444549466,0.8078475787874746,False,0.01788813805363362,0.024180265672670773,0.0005846852480009405,0.5621627465781098,-0.002768618833832376,101.86669136488737,ClassicalELM,DLinear,LegacyPersist
AAPL,2,2024,PatchTST_NaiveKD[ClassicalELM],1.0,,0.9267829129867147,0.8078475787874746,False,0.01786039984693477,0.024282968917672183,0.0005896625794566334,0.5612910300016711,-0.003429182813655723,101.70873197680936,ClassicalELM,PatchTST,NaiveKD
AAPL,2,2024,PatchTST_SoftSR[ClassicalELM],1.0,accept,0.9267828426602754,0.8078475787874746,False,0.017860397919378646,0.024282965057947012,0.0005896623920054755,0.5612909694252018,-0.0034291758476573965,101.70872100005124,ClassicalELM,PatchTST,SoftSR
AAPL,2,2024,PatchTST_HardRejectSR[ClassicalELM],0.0,,0.9297605952735246,0.8078475787874746,False,0.017919294766484753,0.024325688226127302,0.0005917391076747484,0.5631418950628891,-0.003375574549112139,102.04411795017172,ClassicalELM,PatchTST,HardRejectSR
AAPL,2,2024,PatchTST_LegacyPersist[ClassicalELM],1.0,,0.927751000236529,0.8078475787874746,False,0.017920396213930833,0.024302434711755676,0.0005906083329191472,0.5631765097734668,-0.003077508698093076,102.05039030823984,ClassicalELM,PatchTST,LegacyPersist
AAPL,2,2024,N-HiTS_NaiveKD[ClassicalELM],1.0,,0.9219971480743331,0.8078475787874746,False,0.01765654387355614,0.024057003223319478,0.0005787394040868037,0.554884536852005,-0.0030215890064569373,100.54784348965731,ClassicalELM,N-HiTS,NaiveKD
AAPL,2,2024,N-HiTS_SoftSR[ClassicalELM],1.0,accept,0.9219971478569415,0.8078475787874746,False,0.017656543869888842,0.024057003216093262,0.0005787394037391216,0.5548845367367544,-0.00302158897000666,100.54784346877335,ClassicalELM,N-HiTS,SoftSR
AAPL,2,2024,N-HiTS_HardRejectSR[ClassicalELM],0.0,,0.9220142383603291,0.8078475787874746,False,0.01767104163272537,0.024075563678305996,0.000579632766428167,0.5553401516336758,-0.003123399914634675,100.63040315877136,ClassicalELM,N-HiTS,HardRejectSR
AAPL,2,2024,N-HiTS_LegacyPersist[ClassicalELM],1.0,,0.9243957727947136,0.8078475787874746,False,0.017655270044895772,0.024064763448690636,0.0005791128398414369,0.5548445047918635,-0.0029974702205597128,100.54058948084945,ClassicalELM,N-HiTS,LegacyPersist
AAPL,3,42,DLinear_NS,,,0.5673977982755426,0.8988500274838737,False,0.0209799529260625,0.040359417868576074,0.0016288826106903376,0.6291006526973174,-0.0006781136352933616,104.562049574953,,,
AAPL,3,42,PatchTST_NS,,,0.5706965445021742,0.8988500274838737,False,0.020521251139110654,0.040146557003089875,0.0016117460392023446,0.6153461130860127,-0.0011933403885102311,102.27592437932415,,,
AAPL,3,42,N-HiTS_NS,,,0.5601499575309397,0.8988500274838737,False,0.020256636176821493,0.03998848172169579,0.0015990786704063987,0.6074114219989423,-0.0005536201765657888,100.9571090844251,,,
AAPL,3,42,DLinear_NaiveKD[QELM],1.0,,0.5645155557348364,0.8988500274838737,False,0.020704639976908537,0.04018603695415625,0.0016149175660808116,0.6208451739257886,-0.0006750910946214456,103.18991655160849,QELM,DLinear,NaiveKD
AAPL,3,42,DLinear_SoftSR[QELM],1.0,accept,0.5645155557348364,0.8988500274838737,False,0.020704639976908537,0.04018603695415625,0.0016149175660808116,0.6208451739257886,-0.0006750910946214456,103.18991655160849,QELM,DLinear,SoftSR
AAPL,3,42,DLinear_HardRejectSR[QELM],0.0,,0.5673977982755426,0.8988500274838737,False,0.0209799529260625,0.040359417868576074,0.0016288826106903376,0.6291006526973174,-0.0006781136352933616,104.562049574953,QELM,DLinear,HardRejectSR
